,Unnamed: 0,ID,Start_Time,County,State,Severity,Start_Lat,Start_Lng,Sunrise_Sunset,Weekday,Hour,Month
247532,535761,A-3256628,2020-11-18 13:56:00,Clayton,GA,4,33.607102000000005,-84.295316,Day,2,13,11
247540,535773,A-3256640,2020-12-19 21:23:00,Clayton,GA,2,33.621412,-84.399596,Night,5,21,12
247789,536252,A-3257125,2020-10-09 00:45:00,Clayton,GA,2,33.616671999999994,-84.445198,Night,4,0,10
247846,536374,A-3257247,2020-09-11 15:12:00,Clayton,GA,2,33.582576,-84.279845,Day,4,15,9
247894,536477,A-3257350,2020-11-12 15:10:00,Clayton,GA,2,33.629075,-84.40039499999999,Day,3,15,11
248489,537758,A-3258657,2020-12-15 16:00:00,Clayton,GA,4,33.561848,-84.31490699999999,Day,1,16,12
250119,541045,A-3261982,2020-10-18 03:30:00,Clayton,GA,2,33.581365000000005,-84.411668,Night,6,3,10
250188,541173,A-3262110,2020-11-08 21:03:06,Clayton,GA,2,33.586093,-84.380215,Night,6,21,11
250189,541174,A-3262111,2020-09-15 13:38:24,Clayton,GA,2,33.591959,-84.38532,Day,1,13,9
251858,544625,A-3265614,2020-12-13 22:19:00,Clayton,GA,2,33.646412,-84.371596,Night,6,22,12
252137,545197,A-3266192,2020-11-20 09:56:00,Clayton,GA,2,33.581203,-84.279781,Day,4,9,11
253107,547198,A-3268213,2020-12-30 08:33:00,Clayton,GA,2,33.616692,-84.445382,Day,2,8,12
254184,549433,A-3270485,2020-09-24 23:45:00,Clayton,GA,2,33.561612,-84.314886,Night,3,23,9
254902,550982,A-3272049,2020-09-17 10:07:00,Clayton,GA,4,33.635963000000004,-84.45695699999999,Day,3,10,9
255639,552536,A-3273628,2020-11-04 12:17:30,Clayton,GA,2,33.558608,-84.270168,Day,2,12,11
257456,556273,A-3277416,2020-11-12 14:20:00,Clayton,GA,2,33.637014,-84.30750400000001,Day,3,14,11
257668,556671,A-3277817,2020-11-15 13:53:00,Clayton,GA,2,33.553158,-84.347287,Day,6,13,11
257981,557352,A-3278504,2020-10-29 11:20:00,Clayton,GA,2,33.570992,-84.329104,Day,3,11,10
258081,557550,A-3278705,2020-10-15 16:34:00,Clayton,GA,2,33.554548,-84.299285,Day,3,16,10
258401,558223,A-3279388,2020-09-18 05:03:00,Clayton,GA,2,33.623367,-84.425157,Night,4,5,9
258473,558382,A-3279548,2020-12-17 12:02:30,Clayton,GA,2,33.610428000000006,-84.396532,Day,3,12,12
259299,560136,A-3281324,2020-09-22 20:01:00,Clayton,GA,2,33.578821000000005,-84.351536,Night,1,20,9
260169,561954,A-3283171,2020-11-22 13:16:00,Clayton,GA,2,33.63147,-84.400892,Day,6,13,11
261259,564258,A-3285507,2020-10-25 09:17:00,Clayton,GA,2,33.63092,-84.456292,Day,6,9,10
261329,564412,A-3285663,2020-10-23 10:35:30,Clayton,GA,2,33.596133,-84.388312,Day,4,10,10
261658,565115,A-3286372,2020-12-30 08:33:00,Clayton,GA,2,33.616849,-84.44653199999999,Day,2,8,12
262055,565864,A-3287129,2020-11-14 18:45:00,Clayton,GA,2,33.619655,-84.398914,Night,5,18,11
262057,565866,A-3287131,2020-10-30 04:42:00,Clayton,GA,2,33.646559,-84.39827,Night,4,4,10
262404,566564,A-3287839,2020-11-18 13:56:00,Clayton,GA,2,33.607102000000005,-84.295316,Day,2,13,11
262917,567583,A-3288872,2020-10-25 04:37:00,Clayton,GA,2,33.561848,-84.31490699999999,Night,6,4,10
263078,567900,A-3289200,2020-10-19 18:52:00,Clayton,GA,2,33.55657,-84.304909,Day,0,18,10
263355,568439,A-3289749,2020-12-02 00:04:20,Clayton,GA,2,33.611795,-84.29608499999999,Night,2,0,12
263368,568468,A-3289780,2020-10-24 14:03:00,Clayton,GA,2,33.626543,-84.419342,Day,5,14,10
263398,568528,A-3289842,2020-11-22 13:21:00,Clayton,GA,2,33.63147,-84.400892,Day,6,13,11
264608,571045,A-3292394,2020-11-17 16:50:00,Clayton,GA,2,33.574615,-84.334777,Day,1,16,11
265945,573797,A-3295196,2020-10-03 14:00:00,Clayton,GA,2,33.648751000000004,-84.445821,Day,5,14,10
267047,576034,A-3297475,2020-10-20 13:03:24,Clayton,GA,2,33.576972999999995,-84.341975,Day,1,13,10
267276,576511,A-3297959,2020-11-11 14:16:00,Clayton,GA,2,33.561617,-84.31488900000001,Day,2,14,11
268324,578660,A-3300151,2020-10-22 18:48:00,Clayton,GA,2,33.55657,-84.304909,Day,3,18,10
268594,579249,A-3300749,2020-09-25 08:35:30,Clayton,GA,2,33.591959,-84.38532,Day,4,8,9
268991,580028,A-3301534,2020-12-03 03:19:00,Clayton,GA,2,33.561612,-84.314886,Night,3,3,12
